n-gram,PMI
about trans,125
a trans,574
trans woman,393
the trans,502
trans community,264
on trans,209
trans troops,84
related trans,11
trans man,144
that trans,277
allowed trans,14
help trans,14
trans employees,14
many trans,63
trans people,1842
trans advocates,11
of trans,597
for trans,461
trans and,254
with trans,69
to trans,161
being trans,128
trans rights,234
trans issues,123
and trans,135
trans student,18
trans students,71
as trans,217
trans members,11
trans day,17
all trans,50
trans actress,26
trans actor,23
by trans,54
trans activist,39
playing trans,11
trans roles,23
trans characters,32
trans actors,34
other trans,59
but trans,10
trans campaigners,17
among trans,11
one trans,20
see trans,10
trans activists,48
s trans,50
trans individuals,33
in trans,30
trans patients,20
trans women,508
trans men,97
trans advocate,12
trans inmates,11
trans as,14
some trans,30
m trans,11
trans character,37
trans in,61
were trans,19
trans prisoners,32
ban trans,33
was trans,58
trans the,21
trans person,211
trans girl,32
trans flag,29
against trans,78
her trans,30
trans status,31
another trans,28
trans equality,51
at trans,13
including trans,14
is trans,39
trans or,39
no trans,15
trans sex,11
trans male,11
trans citizens,17
allow trans,44
his trans,14
trans child,11
trans children,74
black trans,47
include trans,11
miss trans,17
trans america,12
trans kids,69
more trans,25
trans non-binary,14
trans youth,102
openly trans,75
trans mp,10
first trans,98
out trans,43
how trans,15
trans identities,12
most trans,16
exclude trans,10
trans on,12
from trans,23
trans athletes,41
trans athlete,11
allowing trans,26
supports trans,11
trans boy,18
trans health,15
trans lives,19
trans –,13
trans but,14
trans at,15
trans is,41
young trans,78
local trans,13
trans pride,23
killing trans,10
self-identifying trans,10
two trans,31
banning trans,19
trans military,31
trans ban,14
trans media,17
trans folk,23
towards trans,15
be trans,35
trans murder,29
our trans,23
trans teen,16
trans allies,14
new trans,14
their trans,24
trans inclusion,23
five trans,10
trans teens,20
trans healthcare,36
are trans,47
trans teenager,10
trans i,19
not trans,12
trans folks,14
— trans,14
between trans,12
when trans,10
trans advisory,11
trans was,17
protect trans,24
trans action,17
my trans,22
any trans,13
trans service,23
support trans,18
re trans,13
or trans,20
trans representation,21
trans identity,34
trans communities,12
trans girls,29
around trans,13
people trans,10
its trans,11
trans model,24
trans young,25
play trans,14
said trans,19
protecting trans,10
stop trans,11
trans servicepeople,11
allows trans,12
which trans,19
over trans,12
trans tag,13
supporting trans,13
trans youths,12
trans love,12
