n-gram,PMI
biological females,114
transgender biological,10
biological woman,23
biological man,53
biological men,205
two biological,32
biological sexes,28
biological facts,12
a biological,246
biological male,174
that biological,68
with biological,44
biological women,144
biological sex,635
opposite biological,23
the biological,115
for biological,24
s biological,72
allow biological,38
allowing biological,41
biological boys,44
their biological,265
against biological,116
biological males,240
commenting biological,14
biological reality,45
biological fact,21
biological girl,20
over biological,35
as biological,19
of biological,106
to biological,62
banning biological,12
on biological,42
from biological,18
biological and,17
objective biological,11
healthy biological,22
biological boy,28
between biological,13
and biological,34
biological girls,21
biological gender,24
her biological,14
his biological,10
biological differences,50
biological female,45
are biological,13
by biological,14
other biological,10
in biological,10
