Item_ID	Sentence	Adj	Noun
18:55	however, debra messing later realized that in posting an image of solely vaginas she had excluded trans women “ who do n’t have a vagina.	trans	women
29:11	although many trans women undergo surgery to remove their penis and replace it with an artificially constructed vagina, a large number also keep their genital organs intact.	trans	women
34:35	nbc news published a transgender “ health and wellness ” story about biological females who identify as males, yet must deal with normal menstruation.	biological	females
35:8	for transgender men, pain of menstruation is more than just physical.	transgender	men
38:37	the article attempted to highlight the “ physical and psychological pain ” biological females who claim to be male experience when they get their normal monthly periods.	biological	females
196:99	” a similar bill did not advance last year, but several supporters of the measure said they were convinced to vote for it after university of pennsylvania swimmer lia thomas, a trans woman, won a title earlier this month at the national ncaa women ’s division i championship.	trans	woman
254:114	” in november, walker resigned from her position at old dominion university, claiming that her research was “ mischaracterized by some in the media and online, ” in part, due to her being a transgender biological woman.	biological	woman
261:30	news reports that a 33 -- year -- old transgender woman who worked as a software engineer in seattle has been arrested in relation to a massive data breach which puts over 100 million capital one credit card applicants at risk.	transgender	woman
281:37	” last summer, valentina sampaio made headlines after becoming the first biological man to appear in sports illustrated ’s annual swimsuit issue.	biological	man
288:73	but according to carrera, that ’s not enough, as the rupaul ’s drag race star calls that tokenism, and believes that more biological men that identify as women should dominate the magazine covers.	biological	men
289:26	“ it ’s great to see trans women, especially trans women of color, get on a global, recognizable platform like si swim, ” carrera said.	trans	women
289:37	“ it ’s great to see trans women, especially trans women of color, get on a global, recognizable platform like si swim, ” carrera said.	trans	women
449:63	rachel levine, pennsylvania ’s secretary of health, is still a man regardless of any claim to be a “ transgender woman, ” says jenna ellis, a senior legal adviser for president donald trump ’s reelection campaign.	transgender	woman
463:35	it ’s not just my belief that dr. levine is a biological male.	biological	male
491:66	we ’re seeing all kinds of challenges with the transgender movement because, you know, you ’re seeing that biological men are … harming women.	biological	men
492:90	there was the case out of alaska where a battered woman shelter was sued to try to have a transgender, quote unquote, woman — but a biological man — be placed overnight with biological women.	biological	man
492:109	there was the case out of alaska where a battered woman shelter was sued to try to have a transgender, quote unquote, woman — but a biological man — be placed overnight with biological women.	biological	women
520:73	a pentagon report commissioned by former defense secretary james mattis said that “ rates for genital surgery are exceedingly low -- 2% of transgender men and 10% of transgender women.	transgender	men
520:89	a pentagon report commissioned by former defense secretary james mattis said that “ rates for genital surgery are exceedingly low -- 2% of transgender men and 10% of transgender women.	transgender	women
633:59	sir keir starmer, the labour party leader, declared on friday that he is a staunch believer that “ trans women are women ”.	trans	women
646:62	sir keir has claimed he believes in “ safe spaces for women ”, but as he believes ‘ trans women are women ’ it seems unlikely that this extends to safe spaces for biological women.	trans	women
646:109	sir keir has claimed he believes in “ safe spaces for women ”, but as he believes ‘ trans women are women ’ it seems unlikely that this extends to safe spaces for biological women.	biological	women
847:16	sophie cook, a transgender woman who advised mr cairns on the change in policy said: “ like the bigots of the past, the anti-semites and the homophobes, the anti-transgender lobby is gradually fading.	transgender	woman
903:71	a pentagon report commissioned by former defense secretary james mattis said “ rates for genital surgery are exceedingly low -- 2% of transgender men and 10% of transgender women.	transgender	men
903:87	a pentagon report commissioned by former defense secretary james mattis said “ rates for genital surgery are exceedingly low -- 2% of transgender men and 10% of transgender women.	transgender	women
962:90	it contains well -- known alternate options, such as “ agender ” — used to describe someone who does not have a gender — “ transgender, ” “ trans woman, ” “ trans man, ” “ non-binary, ” and “ intersex, ” but it also includes less commonly known options.	trans	woman
962:101	it contains well -- known alternate options, such as “ agender ” — used to describe someone who does not have a gender — “ transgender, ” “ trans woman, ” “ trans man, ” “ non-binary, ” and “ intersex, ” but it also includes less commonly known options.	trans	man
1025:81	voters reward leaders who stand up to woke bullies, particularly those who seek to inject age -- inappropriate gender ideology in classrooms and allow biological men to compete in women ’s sports, rep. jim banks --lrb- r -- in --rrb- said tuesday.	biological	men
1034:45	“ we ’re seeing ncaa especially cheapen women ’s sports by allowing biological men to compete in women ’s sports, ” he said, noting that it appears holcomb caved to pressure from the ncaa, which is headquartered in indianapolis.	biological	men
1040:93	a speaker at a women ’s march in savannah, georgia, on saturday said the fight for the right to kill unborn children in the womb also applies to “ trans men.	trans	men
1041:65	” “ this is an issue that has been affecting moms, their daughters, their granddaughters, their great granddaughters, trans men — it ’s been affecting people for 50 years because even though it ’s legal, we ’re still fighting for it, which does n’t make sense, ” the speaker said to a crowd of several hundred people at forsyth park.	trans	men
1055:82	the bill asserts that access to abortion is “ critical to the health of every person capable of becoming pregnant, ” including “ cisgender women, transgender men, non-binary individuals, those who identify with a different gender, and others.	transgender	men
1182:26	tennis great martina navratilova reiterated her stand against biological males competing against natural -- born women, because the males have a competitive edge.	biological	males
1273:130	so, stop me if you ’ve heard this one before: biological male who decides he ’s a woman, gets permission to compete in women ’s athletics, and then proceeds to use his natural physical advantages to dominate all the biological females.	biological	females
1279:14	” usav requires transgender women to undergo hormone replacement therapy consistently for at least one year — with proper documentation — and they also have to change their identification, like passports and birth certificates, to female.	transgender	women
1283:76	players and parents we spoke to who did not want to be on camera say it ’s not fair for teams with biological women because it creates an unrealistic level of competition.	biological	women
1292:41	” she also said that karen white — a biologically -- male ‘ trans woman ’ who was jailed for violent crimes and rape and was moved to a man ’s prison after sexually assaulting fellow female inmates — was a “ man ” and spoke out about the danger to women if men are allowed to self -- identify and have this used as the legal standard as it could lead to more women being harmed.	trans	woman
1296:71	according to the times, she is believed to be the first person in britain to lose her job for saying that trans women were not women.	trans	women
1315:67	homeless shelters designed to house females now have protections so that women do n’t have to share intimate spaces with biological men who “ identify ” as women, according to a new rule issued on friday by u.s. housing and urban development --lrb- hud --rrb-.	biological	men
1322:64	“ hud secretary ben carson had previously expressed concern about the impact on residents of female -- only shelters when transgender women are allowed to share bathrooms and shower areas, ” the post reported.	transgender	women
1324:92	“ the rule cites a lawsuit against anchorage, in which a faith -- based shelter claimed that female residents said they ’d rather sleep in the woods than alongside biological males, ” the post reported.	biological	males
1343:31	” in addition, teen vogue insists that a “ trans woman is a woman ” in the video says.	trans	woman
1420:105	in nevada, tulsi gabbard --lrb- on behalf of adam laxalt --rrb- attacks democrat sen. catherine cortez masto for going along with woke ideologues who “ demonize police, support open borders, and believe biological men should compete against women in sports.	biological	men
1425:106	in particular, the campaign focused on drawing attention to woke efforts to encourage and enable children to undergo irreversible and dangerous sex -- change procedures, inject sexually explicit content into schools, and allow biological males in female sports.	biological	males
1456:110	just last year, the green party ’s own parliamentary candidate for cambridge, rupert read, was asked to step down when he was labeled “ transphobic ” for arguing in an academic article that transgender women were “ a sort of ‘ opt -- in ’ version of what it is to be a woman ”.	transgender	women
1493:64	big thanks to#liathomas for saving women ’s sports by showing just how preposterous it is for a strapping athletic young biological man to compete with biological women.	biological	man
1493:79	big thanks to#liathomas for saving women ’s sports by showing just how preposterous it is for a strapping athletic young biological man to compete with biological women.	biological	women
1505:55	“ i told my fellow officials that i can no longer participate in a sport which allows biological men to compete against women.	biological	men
1547:42	the female hygiene company tampax decided on sunday to express support for biological women who want to live as men by posting on social media that biological sex does n’t determine who has menstrual cycles.	biological	women
1584:10	as a trans woman, i want equality.	trans	woman
1673:80	simon fanshawe argued stonewall should not minimise the concerns of women who object to transgenders competing in female -- only sports or oppose letting biological males into female -- only spaces such as changing rooms and bathrooms.	biological	males
1691:41	” ros -- lehtinen ’s daughter, reports the washington post, is a transgender man and a lgbt activist.	transgender	man
1704:14	thomas, a biological male who has taken record wins in the 100 -- yard and 200 -- yard freestyle races and has easily beaten all natural -- born opponents after joining the university ’s women ’s swim team this season, has become the focus of criticism throughout the season.	biological	male
1707:15	lia thomas, a transgender woman, dives into the water to swim in the 200 yard medley relay for the university of pennsylvania at an ivy league swim meet against harvard university in cambridge, massachusetts, on january 22, 2022.	transgender	woman
