Item_ID	Sentence	Adj	Noun
10:7	french transgender woman hopes to run for president.	transgender	woman
11:8	a trans woman who has set up a new political party hopes to run in the 2012 french presidential elections.	trans	woman
65:39	” two starbucks chains are currently involved in a legal battle after a transgender man filed a discrimination complaint against them.	transgender	man
88:80	this week ’s mid-term elections marked a historic first in lesbian, gay, bisexual and transgender --lrb- lbgt --rrb- movement for equality and civic engagement with a transgender woman being elected.	transgender	woman
90:18	ms iwamoto, an openly transgender woman, is a member of the national centre for transgender equality ’s --lrb- ncte --rrb- board of advisors.	transgender	woman
147:49	now, along with the man and woman options, you can also choose trans, trans man, trans woman and transgender.	trans	man
147:56	now, along with the man and woman options, you can also choose trans, trans man, trans woman and transgender.	trans	woman
232:15	in june, a transgender woman was forced to leave a restaurant after using the women ’s bathroom.	transgender	woman
281:8	a transgender woman from carlisle has told how she was subjected to transphobic abuse as she walked through the city centre.	transgender	woman
414:8	one trans woman currently awaiting referral for surgery in north wales said she “ would n’t have been able to go on ” without a prescription for hormone therapy from her gp.	trans	woman
464:18	the results show that trans women appear to have an increased risk of cardiovascular events due to hormone therapy, but the data is less clear for trans men.	trans	women
464:82	the results show that trans women appear to have an increased risk of cardiovascular events due to hormone therapy, but the data is less clear for trans men.	trans	men
465:57	“ in clinical studies that followed transgender patients, rates for myocardial infarction were consistently higher in transgender women on estrogen therapy than in transgender men on testosterone, ” irwig said.	transgender	women
465:77	“ in clinical studies that followed transgender patients, rates for myocardial infarction were consistently higher in transgender women on estrogen therapy than in transgender men on testosterone, ” irwig said.	transgender	men
520:41	” of users, she wrote: “ rather than using the phrase trans women, users would say ‘ trans identified men ’ or tim constantly.	trans	women
580:7	a transgender woman has received an outpouring of financial support after being kicked out of their home and fired from their job.	transgender	woman
585:9	” the trans woman, who uses they / them pronouns, explained that their depression had led them to “ go out a lot with people and waste all my money getting drunk just so i could have some sort of social interactions.	trans	woman
635:90	despite already holding passports which classify them as female, danni askini and janus rose have been told that they need to supply more proof that they were trans women.	trans	women
698:35	republican politician could face criminal probe after filming herself harassing transgender woman.	transgender	woman
