n-gram,PMI
trans women,267
my trans,12
many trans,10
as trans,60
trans individuals,19
about trans,40
trans issues,28
that trans,101
trans people,376
trans kids,72
trans folks,13
all trans,23
of trans,193
a trans,210
trans person,55
being trans,34
trans is,10
trans athletes,129
trans woman,123
trans identity,12
the trans,233
trans community,87
for trans,122
re trans,11
on trans,75
trans children,23
trans child,15
trans man,51
commenting trans,45
trans sports,10
trans men,66
to trans,63
our trans,19
trans swimmer,36
trans lives,14
trans rights,64
trans activists,65
by trans,31
trans inclusion,16
trans actor,14
trans activist,38
and trans,72
trans in,13
or trans,10
trans and,114
says trans,10
`` trans,11
trans youth,61
other trans,13
first trans,23
trans lobby,20
women trans,14
is trans,15
trans i,10
out trans,10
openly trans,11
in trans,10
trans weightlifter,10
allowing trans,16
child trans,12
youth trans,13
trans critical,13
are trans,31
trans the,19
am trans,10
from trans,15
love trans,22
against trans,32
with trans,23
trans girls,20
trans students,36
be trans,27
trans sex,11
this trans,13
trans non-binary,15
s trans,30
some trans,14
trans inmates,19
trans movement,15
trans or,13
include trans,11
hate trans,11
trans activism,13
trans ideology,20
trans actors,10
trans athlete,40
over trans,10
more trans,10
young trans,13
trans exclusionary,12
trans female,12
ban trans,11
radical trans,12
including trans,14
black trans,48
trans pupils,12
trans united,16
